word,anticipation,joy,trust,fear,sadness,disgust,anger,surprise,positive,negative,none
abad,0,0,1,0,0,0,0,0,0,0,0
abadía,0,5,3,0,0,0,0,0,0,0,1
abajo,0,0,0,0,0,0,0,0,0,0,1
abajo,0,0,0,0,0,0,0,0,0,0,1
abandonado,0,1,0,1,3,0,0,0,0,0,0
abandonar,0,0,1,1,0,0,0,0,0,0,0
abandonar,0,1,0,0,2,0,0,0,0,0,1
abarcar,0,1,0,0,0,1,0,0,0,0,0
abdicar,0,0,0,0,0,0,0,0,0,0,1
abierta,0,1,1,0,0,0,0,0,0,0,0
abiertamente,0,1,1,0,0,0,0,0,0,0,0
abiertamente,0,1,3,0,0,0,0,0,4,0,1
abierto,0,0,0,2,0,0,0,0,0,0,0
abierto,0,2,0,0,0,0,0,0,0,0,1
abil,1,5,0,1,0,0,0,0,4,1,4
abismal,0,0,0,0,1,0,0,0,0,0,10
abismo,0,0,0,0,0,0,0,0,0,0,1
abnegación,0,1,0,0,1,0,0,0,0,0,0
abogacía,1,0,0,0,0,0,0,0,0,0,0
abogado,0,0,0,0,0,0,0,0,0,0,2
abogado,0,0,3,0,0,0,0,0,0,0,0
abolición,0,1,0,1,0,0,0,0,0,0,0
abolir,0,0,0,0,1,0,0,0,0,0,0
abominación,0,0,0,1,0,4,0,0,0,0,5
abono,0,1,0,0,0,1,0,0,0,0,2
abordar,0,2,0,0,0,0,0,0,0,0,1
aborrecible,0,0,0,0,0,0,0,0,0,0,2
aborrezco,0,0,0,0,0,1,0,0,0,0,1
aborta,0,0,0,0,0,0,2,0,0,0,0
abrasadoramente,0,1,0,0,0,0,0,0,0,0,1
abrasivo,0,0,0,0,1,1,1,0,0,0,0
abrazadera,0,0,0,1,0,0,0,0,0,0,0
abrazadera,0,0,1,0,0,0,0,0,0,0,0
abrazar,0,0,0,0,0,0,0,0,0,0,1
abrazar,0,4,1,0,0,0,0,0,0,0,0
abrazo,0,2,1,0,0,0,0,0,0,0,0
abreviar,0,0,0,0,0,0,1,0,0,0,0
abreviar,2,0,0,0,0,1,0,1,1,2,4
abrigo,4,1,3,0,1,0,1,0,2,1,5
abrir,0,0,0,0,0,0,0,0,0,0,2
abrumado,0,0,0,0,1,0,0,0,0,0,0
absente,0,0,0,0,3,0,0,0,0,0,0
absoluta,0,0,0,0,0,0,0,0,0,0,1
absoluta,0,1,1,0,0,0,0,3,0,0,0
absolutamente,0,1,0,0,0,1,0,0,0,0,0
absolutista,0,0,1,0,0,0,0,0,0,0,0
absolver,1,3,1,0,1,0,0,0,1,1,2
absorber,0,0,0,0,0,0,0,1,0,0,0
absorción,1,0,0,0,0,0,0,0,0,0,8
abstenerse,0,0,0,0,0,0,0,0,0,0,2
abstenerse,1,0,0,0,0,0,0,0,0,0,1
abstente,0,0,0,0,0,0,0,0,0,0,1
abstractamente,0,0,0,0,0,0,0,0,0,0,2
abstracto,0,0,0,0,0,0,0,0,0,0,10
absurdamente,0,0,0,0,0,0,0,2,0,0,0
absurdo,0,0,0,0,0,1,0,0,0,0,0
absurdo,0,0,0,0,0,1,0,0,0,0,1
abuela,0,2,1,0,0,0,0,0,0,0,0
abuelita,0,2,1,0,0,0,0,0,0,0,0
abuelo,0,5,1,0,0,0,0,0,0,0,1
abundan,0,0,0,0,0,0,0,0,0,0,1
abundancia,0,10,0,0,0,0,0,0,1,0,1
abundante,0,0,0,0,0,0,0,0,0,0,2
abundante,0,0,0,0,0,0,1,0,0,0,0
abundante,0,4,0,0,0,0,0,1,4,0,0
aburrida,0,0,0,0,0,0,0,0,0,0,1
aburrido,0,0,0,0,2,0,0,0,0,0,0
aburrido,0,0,0,0,3,0,0,0,0,0,0
abuso,0,0,0,1,1,0,1,0,0,0,0
academia,0,0,1,0,0,0,0,0,0,0,0
academia,1,0,0,0,0,0,0,0,0,0,1
academica,0,0,1,0,0,0,0,0,0,0,0
acanalado,2,1,0,0,0,0,0,4,0,0,3
acantilado,0,0,0,0,0,0,0,0,0,0,1
acaparador,0,0,1,0,0,1,0,0,0,0,1
acceder,0,1,1,0,0,0,1,0,0,0,0
acceso,0,3,0,0,0,0,0,0,0,0,5
accesorio,0,0,0,0,0,0,0,0,0,0,2
accidente,0,0,1,0,5,0,0,1,0,0,2
accidente,1,0,1,0,1,0,0,1,0,0,0
acción,0,0,0,0,0,0,0,0,0,0,1
accionista,0,0,0,0,0,0,0,0,0,0,1
acechan,0,1,0,1,0,0,0,1,0,0,0
aceite,0,0,0,0,0,0,0,0,0,0,2
acelerar,0,1,0,0,0,0,0,0,0,0,1
acelerar,0,1,0,0,0,0,1,0,0,0,1
aceleró,0,0,0,0,0,0,0,0,0,0,1
acento,0,1,0,0,0,0,0,0,0,0,2
