word,anticipation,joy,trust,fear,sadness,disgust,anger,surprise,positive,negative,none
Esta,0,0,0,1,0,0,0,0,0,0,1
Es,0,0,0,0,0,0,0,0,0,0,5
porque,0,0,0,0,0,0,0,0,1,0,10
exportar,1,1,0,0,0,0,0,0,0,0,0
Para,0,0,0,0,0,0,0,0,0,0,4
el,0,0,0,0,0,0,0,0,0,0,11
Acción,0,4,2,0,0,1,0,2,0,0,2
Y,0,0,0,0,0,0,0,0,0,0,2
Hornear,0,2,0,0,0,0,0,0,0,0,1
Hielo,2,0,0,2,1,1,0,2,0,1,2
Gelatina,0,2,0,0,0,0,0,0,0,0,1
sprinkl,0,2,0,0,1,0,0,0,0,0,0
De,0,0,0,0,0,1,0,0,0,1,7
Que,0,0,0,0,0,0,0,0,0,0,3
Son,0,0,0,0,0,0,0,0,0,0,10
Doméstico,0,3,1,0,0,0,0,0,0,0,0
En,0,0,0,0,0,0,0,0,0,0,9
Estos,0,0,0,0,0,0,0,0,0,0,3
Don,0,1,0,0,0,0,0,0,0,0,1
Saber,0,2,0,0,0,0,0,0,0,0,0
Como,0,0,0,0,0,0,0,0,0,0,12
bien,0,2,0,0,0,0,0,0,0,0,0
Ellos,0,0,0,0,0,0,0,0,0,0,3
Sonido,0,1,0,0,0,0,0,0,0,0,3
O,0,0,0,0,0,0,0,0,0,0,3
Si,1,0,0,0,0,0,0,0,0,0,9
Pensar,1,0,0,0,0,0,0,0,0,0,0
Idea,1,0,0,0,0,0,0,1,0,0,0
Absoluto,0,2,0,0,1,0,0,1,5,0,1
horrendo,0,0,0,1,0,0,0,0,0,0,0
Sólo,0,0,0,0,0,0,0,0,0,0,1
Hablado,0,1,0,1,0,0,0,0,0,0,0
Ahora,0,0,0,0,0,0,0,0,0,0,3
Ser,0,0,0,0,0,0,0,0,0,0,1
Reconocer,0,0,0,0,1,0,0,0,0,0,0
Editar,0,1,1,0,0,0,0,0,0,0,1
Desde,0,0,0,0,0,0,0,0,0,0,11
Aparente,1,0,1,0,0,0,0,0,0,0,1
Plétora,1,3,0,0,0,0,0,0,0,0,0
serio,0,0,0,1,0,0,0,0,0,0,0
afuera,0,0,0,0,0,0,1,1,0,0,7
acerca de,0,0,0,0,0,0,0,0,0,0,1
por la presente,0,0,0,0,0,0,0,0,0,0,4
Doblar,0,1,0,1,0,0,0,0,0,0,1
Dejar,2,1,0,0,3,1,0,0,1,2,4
obvio,0,0,0,0,0,0,0,0,0,0,2
Broma,0,5,0,0,0,0,0,0,0,0,0
etiqueta,1,1,0,0,0,0,0,0,0,0,1
Comenzado,0,2,0,0,0,0,0,0,0,0,0
Culinari,0,3,1,0,0,0,0,0,1,1,3
Tener,0,0,0,0,0,0,0,0,0,0,1
Para,0,0,0,0,0,0,0,0,0,0,3
Seguro,0,2,0,0,0,0,0,0,0,0,0
Contento,0,7,0,0,0,0,0,0,0,0,1
En,0,0,0,0,0,0,0,0,0,0,1
Su,0,0,0,0,0,0,0,1,0,0,10
Lado,0,0,0,0,1,0,0,0,0,0,1
ha,0,1,0,0,0,0,0,0,0,0,2
Tomar,0,0,0,0,0,0,0,0,0,0,1
Cómo,0,0,0,0,0,0,0,0,0,0,2
Nosotros,0,0,0,0,0,0,0,0,0,0,4
Asociar,0,1,0,0,0,0,0,0,0,0,2
Dejar,0,0,0,0,0,0,0,0,0,0,1
Escoger,0,1,0,0,0,0,0,0,0,0,1
Nuevo,1,2,0,0,0,0,0,0,0,0,0
Fuente,1,3,1,0,0,0,0,0,0,0,0
Pizza,1,4,0,0,0,0,0,0,1,0,3
Caja,0,0,0,0,0,0,0,0,0,0,2
Bandera,1,2,0,0,0,0,0,0,0,0,0
Empezar,1,1,0,1,0,0,0,0,0,0,0
Nos,0,1,0,0,0,0,0,0,0,0,4
Pequeño,0,0,0,0,0,1,0,0,0,0,0
frecuentemente,0,0,0,0,0,0,0,0,0,0,2
Obtener,1,0,0,0,0,0,0,0,0,0,0
Confundir,0,1,0,0,1,0,0,0,0,0,0
Encontrar,1,2,0,0,0,0,0,1,0,0,0
Indicar,1,1,0,0,0,0,0,0,0,0,1
en lugar de,0,0,0,0,0,0,0,0,0,0,9
Recordar,0,0,0,0,0,0,0,0,0,0,1
me,0,0,0,0,0,0,0,0,0,0,1
anti,0,0,0,0,0,1,0,0,0,0,1
invasión,0,0,0,0,0,0,0,0,0,0,1
Descarga,0,0,0,2,2,2,0,0,0,0,2
Gastar,0,0,0,0,1,0,0,0,0,0,0
Vino,0,2,0,0,0,0,0,0,0,0,0
En,0,0,0,0,0,0,0,0,0,0,1
Canal,0,0,1,0,0,0,0,0,0,0,0
Quiero,0,0,0,0,0,0,0,0,0,0,2
renombrar,1,0,0,0,0,0,0,0,0,0,2
Freir,0,0,0,0,1,0,0,0,0,0,0
Libertad,0,1,1,0,0,0,0,0,0,0,0
Pero,0,0,0,0,0,0,0,0,0,0,3
Realmente,0,1,0,0,0,0,0,1,4,2,1
Sería,0,0,0,0,0,0,0,0,0,0,1
Hamburguesa,1,7,1,0,0,0,0,0,0,0,3
Pollo,0,0,0,1,1,0,0,0,0,0,7
seno,0,0,0,0,0,0,0,0,0,0,2
queso,0,0,0,0,0,0,0,0,0,0,2
Un,0,0,0,0,0,0,0,0,0,0,7
Mi,0,0,0,0,0,0,0,0,0,0,2
gente,0,0,0,0,0,0,0,0,0,0,1
